类型,键,变体,文本
Scene,eatingspeed,2,{PAWN_nameDef}先把桌边那个位子按住，然后坐下时已经拧开了面包的纸，接着把整块塞进去一半。有人跟{PAWN_nameDef}说话时{PAWN_possessive}腮帮还在动。
Head,eatingspeed,3,不留汤的
Scene,eatingspeed,3,{PAWN_nameDef}先把汤盆端起来转了半圈，然后往嘴里倒了最后那口，接着用面包把盆底擦了一遍。{PAWN_nameDef}抬头时别人才吃到一半。
Head,eatingspeed,4,饭点像打仗的
Scene,eatingspeed,4,{PAWN_nameDef}先把靴子在桌腿上蹭了两下，然后一手抓两个团子，接着边嚼边往外走。有人问好不好吃，{PAWN_nameDef}已经说不清刚才吃的是什么。
Head,breakdown,1,把自己关起来的
Scene,breakdown,1,{PAWN_nameDef}先把门闩落下来，然后吹灭灯坐到墙角，接着用两只手抱住头。第二天{PAWN_nameDef}从屋里出来，谁问都说不记得那晚发生了什么。
Head,breakdown,2,砸手边东西的
Scene,breakdown,2,{PAWN_nameDef}先把桌上的杯子扫到地上，然后抓起垫子撕开，接着踢翻了脚边的木箱。事后{PAWN_nameDef}蹲下去把碎片一片一片捡起来。
Head,breakdown,3,喊到没声的
Scene,breakdown,3,{PAWN_nameDef}先把床沿攥出一道印子，然后喊了两声，接着靠着墙滑坐到地上。之后几天{PAWN_nameDef}说话的气音都是哑的。
Head,breakdown,4,不辨好坏的
Scene,breakdown,4,{PAWN_nameDef}先把烧红的铁块从炉里夹出来放到木板上，然后转身走开，接着在门外站了很久。别人把水浇掉之前{PAWN_nameDef}回来看了一眼就走了。
Head,artistry,1,对着光看的
Scene,artistry,1,{PAWN_nameDef}先把石料转了个方向看逆光那道纹，然后削去薄薄一层，接着退开三步眯眼看轮廓。刻完之后{PAWN_nameDef}把它搁到窗台上让它自己待着。
Head,artistry,2,要新颜料的
Scene,artistry,2,{PAWN_nameDef}先把碾钵洗了三遍，然后磨了一小块青金，接着在木板上试那道深浅。画坏的那张{PAWN_nameDef}不让人拿去垫桌。
Head,artistry,3,留着一块的
Scene,artistry,3,{PAWN_nameDef}先把最贵的那块木料从堆底抽出来，然后搁在屋里最干的角落，接着才去用别的料练手。{PAWN_nameDef}说这一件要配得上那块木头。
Head,artistry,4,不肯做第二遍的
Scene,artistry,4,{PAWN_nameDef}先把上一件挪到窗下去摆位置，然后看了看新起的这一件，接着说两件不一样所以只能留一件。之后{PAWN_nameDef}开始画那张构图。
Head,reading,1,夹草茎当签的
Scene,reading,1,{PAWN_nameDef}先把书垫在膝盖上撑开，然后折了根草茎夹进去，接着把灯往自己这边挪了挪。别人来坐那张椅子时会看到{PAWN_nameDef}按住书页不让合上。
Head,reading,2,抄下来的
Scene,reading,2,{PAWN_nameDef}先把看不懂那一段抄到木板上，然后把生词按出现次数排了个队，接着回头重读那一段。抄写板挂在自己床头的钉子上。
Head,reading,3,排队等的
Scene,reading,3,{PAWN_nameDef}先把刚还回去的书又借了回来，然后坐到门外台阶上从上次那道折痕继续，接着把晚饭推迟了两回。{PAWN_nameDef}说自己那一段快完了。
Head,reading,4,讲不出的
Scene,reading,4,{PAWN_nameDef}先把书合上压到胸口，然后盯着房梁想了一会儿，接着说了句别人听不懂的话。第二天{PAWN_nameDef}又翻回同一页。
Head,music,1,上弦的
Scene,music,1,{PAWN_nameDef}先把弦一根一根拧到位，然后按遍品位听有没有杂音，接着把琴身夹在膝上试了两段。晚饭后那条走道上一直是{PAWN_nameDef}的声音。
Head,music,2,边修边弹的
Scene,music,2,{PAWN_nameDef}先把裂开的音孔用胶布贴上，然后刮掉琴码上多余的胶，接着弹了一首最慢的曲子。有人嫌单调，{PAWN_nameDef}说这样才听得清。
Head,music,3,教别人那首的
Scene,music,3,{PAWN_nameDef}先把节拍放慢一半演示，然后让新人自己来一遍，接着在错的地方用指节敲了下琴背。第二天{PAWN_nameDef}把那一段写在纸板上贴到练习处。
Head,music,4,在病房外弹的
Scene,music,4,{PAWN_nameDef}先把门外的台阶坐实，然后把琴放到膝上，接着从最轻的那一首开始弹。有人在里面翻身时{PAWN_nameDef}会停两秒再接上。
Head,workout,1,绕桩跑的
Scene,workout,1,{PAWN_nameDef}先把木桩上的绳结重新系了一遍，然后绕着它跑了十一圈，接着抓住绳子把自己吊上去。落地后{PAWN_nameDef}先喘匀气才去喝水。
Head,workout,2,举石球的
Scene,workout,2,{PAWN_nameDef}先把最大那颗石球上的浮土搓掉，然后深吸一口气把它顶到肩上，接着走了二十步放下。第二天{PAWN_nameDef}把二十步改成了三十步。
Head,workout,3,练摔的
Scene,workout,3,{PAWN_nameDef}先把地上的草皮踩实，然后按住陪练的肩膀倒下去，接着在土里翻了个身爬起来。一天下来{PAWN_nameDef}的衣服就没干过。
Head,workout,4,自己加量的
Scene,workout,4,{PAWN_nameDef}先把袖子里缝进一块铅，然后举了五十下，接着给绑腿又加了一层。别人收工的时候{PAWN_nameDef}还在桩子前。
Head,meditation,1,垫子上坐直的
Scene,meditation,1,{PAWN_nameDef}先把蒲团拍松摆到屋角，然后盘起腿把两只手放到膝上，接着把眼睛半闭。近处响过一次枪声，{PAWN_nameDef}只是把背又挺直了些。
Head,meditation,2,数呼吸的
Scene,meditation,2,{PAWN_nameDef}先把窗缝用布塞上，然后躺平把舌头抵住上颚，接着从一数到三百再来一遍。谁推门进来会先被{PAWN_nameDef}睁眼示意出去。
Head,meditation,3,饭后静一炷香的
Scene,meditation,3,{PAWN_nameDef}先把碗推到桌角，然后走到屋后那棵老树下坐下，接着把外套叠好放到膝上。到点{PAWN_nameDef}自己会睁眼起身。
Head,meditation,4,把杂念写掉的
Scene,meditation,4,{PAWN_nameDef}先把脑子里那三件事刻到木片上，然后压到石头底下，接着闭上眼重新数。想起第四件时{PAWN_nameDef}睁眼又刻了一片。
Head,boardgames,1,摆棋盘的
Scene,boardgames,1,{PAWN_nameDef}先把刻线的木板擦干净，然后把石子按数目分进两侧凹槽，接着推给对面那人示意{PAWN_objective}先走。开局后{PAWN_nameDef}会把手背到后面去。
Head,boardgames,2,故意输半子的
Scene,boardgames,2,{PAWN_nameDef}先把第三步走得很慢，然后装作没看见那条空当，接着到第七步才把局面收回来。对面赢了三局，围观的人看出{PAWN_nameDef}在试{PAWN_possessive}的习惯。
Head,boardgames,3,记别人走法的
Scene,boardgames,3,{PAWN_nameDef}先把上盘那枚重子挪到的位置记住，然后把同样的次序自己摆一遍，接着换了个开局。第三盘对面先沉不住气。
Head,boardgames,4,摆残局的
Scene,boardgames,4,{PAWN_nameDef}先把多余的子收进盒子，然后在木板上只留七颗，接着叫三个人轮着来破。破到最后{PAWN_nameDef}自己演示了一手，两下就完。
Head,healthymeals,1,按顿吃的
Scene,healthymeals,1,{PAWN_nameDef}先把一天分成三段把食物摆好，然后按次序吃自己那份，接着把剩下的原样放回架上。有人递零食过来{PAWN_nameDef}会摆手。
Head,healthymeals,2,煮开水的
Scene,healthymeals,2,{PAWN_nameDef}先把水在壶里滚了两遍，然后把生食单独放到另一块案上，接着把饭前那把青菜焯一下。谁把生水端给{PAWN_nameDef}会被原样推回去。
Head,healthymeals,3,量着吃的
Scene,healthymeals,3,{PAWN_nameDef}先把盘里的东西分成三堆，然后吃完一堆等了一会儿，接着才开始第二堆。{PAWN_nameDef}不吃到站不起来那种程度。
Head,healthymeals,4,不带零食的
Scene,healthymeals,4,{PAWN_nameDef}先把口袋里那点甜的换成一包炒豆，然后嚼完把罐子洗了晾起来，接着喝完睡前那碗汤。仓房钥匙不在{PAWN_nameDef}手里{PAWN_objective}也不在意。
Habit,Aesthete,1,后来{PAWN_nameDef}路过一面白墙也要停下来看它能不能刻点东西，这个毛病再也改不掉了。
Habit,Aesthete,2,{PAWN_nameDef}现在宁可少睡两个钟头，也要把那处不起眼的棱角修顺。
Habit,Aesthete,3,发下来的材料只要够做一件东西，{PAWN_nameDef}就一定留出最差的用途之外的那一份。
Habit,Aesthete,4,{PAWN_nameDef}把能用和好看分得很清楚，并且为了后者多花一倍工时。
Habit,Bloodlust,1,打完之后{PAWN_nameDef}会挨个去看倒下去的人，确认自己有没有错过一个。
Habit,Bloodlust,2,{PAWN_nameDef}开始把近身的距离当成一件让人安心的东西。
Habit,Bloodlust,3,事后别人要{PAWN_nameDef}去休息，{PAWN_objective}先问下一次什么时候。
Habit,Bloodlust,4,{PAWN_nameDef}擦刀的时候手上是有节奏的，像在数着什么。
Habit,BrownThumb,1,{PAWN_nameDef}走到哪儿都会先看那一片土的颜色，改不过来了。
Habit,BrownThumb,2,别人扔掉的根茎{PAWN_nameDef}会捡回去埋上，第二天还去看。
Habit,BrownThumb,3,{PAWN_nameDef}现在判断天气用的是苗床而不是天。
Habit,BrownThumb,4,出远门前{PAWN_nameDef}要把水浇完才肯走，一次也没落下。
Habit,Butcher,1,{PAWN_nameDef}看一头牲口时先看的不是眼睛而是后腿那一段肉。
Habit,Butcher,2,别人绕开的东西{PAWN_nameDef}会走上去用两指按一下弹性。
Habit,Butcher,3,{PAWN_nameDef}收完工具后还会回去把那一片地再冲一遍水。
Habit,Butcher,4,{PAWN_nameDef}报得出每一种骨头能出多少肉，说得比算得快。
Habit,Chemist,1,{PAWN_nameDef}拿到没见过的东西先闻一下，然后才决定放哪里。
Habit,Chemist,2,{PAWN_nameDef}把瓶子按标签朝外的方向摆，谁动过{PAWN_objective}立刻发现。
Habit,Chemist,3,配错一次之后{PAWN_nameDef}会重做三遍，直到颜色回到{PAWN_possessive}记忆里那一样。
Habit,Chemist,4,{PAWN_nameDef}现在听见炉子响就先去看通风口，不看火。
Habit,ColdLover,1,{PAWN_nameDef}夜里会故意把被子掀开一角，第二天照样精神。
Habit,ColdLover,2,别人添柴时{PAWN_nameDef}把窗推开了一格。
Habit,ColdLover,3,{PAWN_nameDef}挑床位专挑风口那头，谁要换{PAWN_objective}都不肯。
Habit,ColdLover,4,手指冻僵了{PAWN_nameDef}反而把活儿干得更细。
Habit,Constitution,1,{PAWN_nameDef}病了也照常吃两顿，然后自己就好了。
Habit,Constitution,2,同一样坏掉的食物{PAWN_nameDef}吃了没事，别人躺了两天。
Habit,Constitution,3,{PAWN_nameDef}现在连伤口都懒得包，说第二天就收口。
Habit,Constitution,4,换季倒下一片时{PAWN_nameDef}还在外头搬东西。
Habit,Diplomat,1,{PAWN_nameDef}听人吵架时先复述一遍双方各自的说法。
Habit,Diplomat,2,{PAWN_nameDef}不肯让任何一句话当场落地，总要接住再放下去。
Habit,Diplomat,3,谈完事{PAWN_nameDef}会分别送两个人到不同的门口。
Habit,Diplomat,4,{PAWN_nameDef}开口前先看屋里谁还没坐下。
Habit,Dodging,1,{PAWN_nameDef}听见风声就会侧身，别人扔过来的东西{PAWN_objective}从来不用手接。
Habit,Dodging,2,坐下时{PAWN_nameDef}一定面朝门口，这个习惯改不掉。
Habit,Dodging,3,{PAWN_nameDef}走路会自然而然避开屋中间那条线。
Habit,Dodging,4,有人抬手{PAWN_nameDef}就退半步，事后自己也没察觉。
Habit,DrugDesire,1,{PAWN_nameDef}开始把口袋里那点存货的份量记得比口粮还清楚。
Habit,DrugDesire,2,手边没有东西可吃时{PAWN_nameDef}会先去翻别人的柜子。
Habit,DrugDesire,3,{PAWN_nameDef}现在一天要分三回去看那个铁盒还在不在。
Habit,DrugDesire,4,到点了{PAWN_nameDef}会开始看门口，谁也看不出{PAWN_objective}在等什么。
Habit,EatingSpeed,1,{PAWN_nameDef}吃完之后还会坐着，只是手里已经没有东西了。
Habit,EatingSpeed,2,别人递话过来时{PAWN_nameDef}已经端着空勺站起来了。
Habit,EatingSpeed,3,{PAWN_nameDef}拿面包时会一口气拿两个，第一个总是没味道。
Habit,EatingSpeed,4,{PAWN_nameDef}把吃饭当成一件挡在活前面的事。
Habit,Gourmet,1,{PAWN_nameDef}开始把盘底那层汁留到最后再动。
Habit,Gourmet,2,同样的菜{PAWN_nameDef}能说出今天多放了什么。
Habit,Gourmet,3,{PAWN_nameDef}宁可少吃一顿也要等那一样做对。
Habit,Gourmet,4,{PAWN_nameDef}拿到配给先闻，再决定要不要坐下。
Habit,HSK_Bookworm,1,{PAWN_nameDef}排队领饭的时候手里也摊着一本。
Habit,HSK_Bookworm,2,{PAWN_nameDef}睡前要把看到的那一页折个极小的角。
Habit,HSK_Bookworm,3,有东西要写时{PAWN_nameDef}会先撕书页的空白边。
Habit,HSK_Bookworm,4,{PAWN_nameDef}已经习惯把听到的话先想成书里怎么写。
Habit,HSK_EarlyRiser,1,{PAWN_nameDef}天亮前一小时就会自然睁眼，然后去把炉子塞满。
Habit,HSK_EarlyRiser,2,{PAWN_nameDef}现在听见公鸡叫会先坐起来，不看时间。
Habit,HSK_EarlyRiser,3,别人醒之前{PAWN_nameDef}已经把当天头三件事做完了。
Habit,HSK_EarlyRiser,4,{PAWN_nameDef}吃过早饭之后的那一整天像是白捡的。
Habit,HSK_Glutton,1,{PAWN_nameDef}把配给分成两次吃，第二次总是提前。
Habit,HSK_Glutton,2,锅还温着的时候{PAWN_nameDef}就会把勺伸进去。
Habit,HSK_Glutton,3,{PAWN_nameDef}现在听见仓门响就会抬头。
Habit,HSK_Glutton,4,吃完自己那份{PAWN_nameDef}还会把盘底再刮一遍。
Habit,HSK_GymRat,1,{PAWN_nameDef}每天开工前要先去把那颗石球举二十下。
Habit,HSK_GymRat,2,等人时{PAWN_nameDef}会靠着墙做几个撑。
Habit,HSK_GymRat,3,{PAWN_nameDef}把重活留给自己，说反正要练。
Habit,HSK_GymRat,4,一天没练{PAWN_nameDef}会觉得肩上是松的，晚上补回去。
Habit,HSK_HealthNut,1,{PAWN_nameDef}生水不喝，冷饭不吃，谁劝也没用。
Habit,HSK_HealthNut,2,{PAWN_nameDef}每天固定时间吃那一顿，误了会补。
Habit,HSK_HealthNut,3,{PAWN_nameDef}开始把肉里的肥的挑出来单独放。
Habit,HSK_HealthNut,4,{PAWN_nameDef}睡前要把窗开一条缝，然后自己盖好。
Habit,HSK_Meditator,1,{PAWN_nameDef}一有空就坐到屋后那棵树下，谁都不说话。
Habit,HSK_Meditator,2,别人急的时候{PAWN_nameDef}先数三口气。
Habit,HSK_Meditator,3,{PAWN_nameDef}夜里醒了不点灯，就在床上重新数呼吸。
Habit,HSK_Meditator,4,{PAWN_nameDef}把杂念刻到木片上压起来这个动作已经停不下来了。
Habit,HSK_Musician,1,{PAWN_nameDef}手指在桌面上的敲击从来没停过。
Habit,HSK_Musician,2,{PAWN_nameDef}一天不碰琴就会去找任何能响的东西。
Habit,HSK_Musician,3,晚上{PAWN_nameDef}不弹完那一段就不去睡。
Habit,HSK_Musician,4,{PAWN_nameDef}听见远处的喧闹会先想它是什么调。
Habit,HSK_NightOwl,1,后来{PAWN_nameDef}半夜起来换保险丝的习惯再也改不掉了。
Habit,HSK_NightOwl,2,{PAWN_nameDef}白天的活要拖到两点钟以后才做得动。
Habit,HSK_NightOwl,3,{PAWN_nameDef}把床位挪到了最不容易被日光晒到的那一头。
Habit,HSK_NightOwl,4,晚饭之后{PAWN_nameDef}就开始有精神，天亮才想睡。
Habit,HSK_Tactician,1,{PAWN_nameDef}看什么都先想第三步会怎样。
Habit,HSK_Tactician,2,{PAWN_nameDef}坐下之前要先看清所有出口。
Habit,HSK_Tactician,3,别人说话{PAWN_nameDef}先猜{PAWN_objective}下一句要什么。
Habit,HSK_Tactician,4,{PAWN_nameDef}收工后还要把那盘没下完的棋再摆一遍。
Habit,HeatLover,1,{PAWN_nameDef}现在挑活儿专挑炉口那一侧，别人躲{PAWN_objective}凑。
Habit,HeatLover,2,{PAWN_nameDef}睡觉要把窗板全合上，还要把床挪到晒得到的地方。
Habit,HeatLover,3,{PAWN_nameDef}一天里最有力气的时候是午后那三个钟头。
Habit,HeatLover,4,{PAWN_nameDef}凉了就要添火，为自己也为别人，说这样才舒服。
Habit,Inventor,1,{PAWN_nameDef}手边永远有一张画了一半的东西。
Habit,Inventor,2,东西坏了{PAWN_nameDef}先别急着修，要先拆开看看为什么。
Habit,Inventor,3,{PAWN_nameDef}睡前要把明天想试的那个法子写在木板上。
Habit,Inventor,4,{PAWN_nameDef}听见别人抱怨某样东西难用就会眼睛一亮。
Habit,Kind,1,{PAWN_nameDef}会把自已那份汤端给刚哭过的人，然后说锅裡还有。
Habit,Kind,2,重活别人没开口{PAWN_nameDef}就先接过来一半。
Habit,Kind,3,{PAWN_nameDef}记住每个人不爱吃什么，上饭时不动声色换掉。
Habit,Kind,4,骂人的话到{PAWN_nameDef}嘴边总会拐个弯变成别的意思。
Habit,Medic,1,{PAWN_nameDef}一听说有人伤了就先去看呼吸，不看脸。
Habit,Medic,2,{PAWN_nameDef}每天要把绷带和药按用量重新码一遍才安心。
Habit,Medic,3,{PAWN_nameDef}夜里会被自己的脚步声叫醒去看那张床。
Habit,Medic,4,别人抬来伤员时{PAWN_nameDef}已经先把台子擦干净了。
Habit,NeatFreak,1,{PAWN_nameDef}退回去看第二眼的毛病再也改不掉。
Habit,NeatFreak,2,{PAWN_nameDef}坐下之前要先把座位擦一遍。
Habit,NeatFreak,3,工具用完{PAWN_nameDef}一定要挂回那一格，挂歪了要重挂。
Habit,NeatFreak,4,{PAWN_nameDef}现在连说话之前都要先把对方身后的背景看一眼。
Habit,PainThreshold,1,{PAWN_nameDef}受伤之后先把别的事做完，再去管伤口。
Habit,PainThreshold,2,{PAWN_nameDef}疼的时候会不出声，只有手指在动。
Habit,PainThreshold,3,{PAWN_nameDef}把止痛药用掉了也不吭一声。
Habit,PainThreshold,4,{PAWN_nameDef}现在别人问要不要抬走时都会说还能走。
Habit,Perfectionist,1,{PAWN_nameDef}交不出自己都看得过去的东西，就宁可不交。
Habit,Perfectionist,2,{PAWN_nameDef}做完工还要退开三步再看一次，然后走回去改。
Habit,Perfectionist,3,{PAWN_nameDef}把差的那一件单独留下，摆到谁都看得见的地方。
Habit,Perfectionist,4,别人说已经很好了的时候{PAWN_nameDef}会沉默，然后接着做。
Habit,Recluse,1,{PAWN_nameDef}现在收工后要单独找一个坐得住的地方。
Habit,Recluse,2,{PAWN_nameDef}吃饭挑最后一个人坐下那张桌。
Habit,Recluse,3,有人来问{PAWN_nameDef}会先把话说得很短，好让对方走。
Habit,Recluse,4,{PAWN_nameDef}夜里起来看月亮，听见别人脚步声就先回屋。
Habit,Rockhound,1,{PAWN_nameDef}走路看见裸露的岩层就要过去敲一下。
Habit,Rockhound,2,{PAWN_nameDef}口袋里总有一块不值钱的石头。
Habit,Rockhound,3,别人问{PAWN_nameDef}今天怎么样，回答里都是矿石。
Habit,Rockhound,4,{PAWN_nameDef}下井之前要先把手掌贴到壁上去。
Habit,ShootingAccuracy,1,{PAWN_nameDef}打完会去数靶上的洞，数不完吃不下饭。
Habit,ShootingAccuracy,2,{PAWN_nameDef}擦枪的时间比擦脸长。
Habit,ShootingAccuracy,3,{PAWN_nameDef}看远处的东西先估距离，再估风。
Habit,ShootingAccuracy,4,别人乱开枪时{PAWN_nameDef}会皱起眉，然后把自己的枪口压低。
Habit,Trader,1,{PAWN_nameDef}看什么都先在心里估个价。
Habit,Trader,2,{PAWN_nameDef}跟谁说话都会先留一句让对方还价。
Habit,Trader,3,{PAWN_nameDef}口袋里有一张记着各家底价的木片。
Habit,Trader,4,买卖做完{PAWN_nameDef}还要回头补一句下次带什么。
Habit,VTE_AnimalHater,1,{PAWN_nameDef}踢开挡路的牲口之后不会回头看。
Habit,VTE_AnimalHater,2,{PAWN_nameDef}不接受把畜养在屋里这回事，说了很多次。
Habit,VTE_AnimalHater,3,有人抱来幼崽{PAWN_nameDef}会绕开那条走道。
Habit,VTE_AnimalHater,4,{PAWN_nameDef}喂牲口是把桶一推，然后就走。
Habit,VTE_AnimalLover,1,{PAWN_nameDef}进仓房第一件事是数畜栏里有几颗头。
Habit,VTE_AnimalLover,2,{PAWN_nameDef}把自己的口粮分一半出去，然后说它今天不吃也行。
Habit,VTE_AnimalLover,3,有人要屠宰{PAWN_nameDef}会先问它是不是养久了。
Habit,VTE_AnimalLover,4,{PAWN_nameDef}睡着的时候身边总卧着一个东西。
Habit,VTE_CouchPotato,1,{PAWN_nameDef}一坐下就不会再自己站起来。
Habit,VTE_CouchPotato,2,{PAWN_nameDef}把遥控器和杯子都摆到手能够到的那一圈。
Habit,VTE_CouchPotato,3,有人叫{PAWN_nameDef}搭把手，回答永远是等一下。
Habit,VTE_CouchPotato,4,{PAWN_nameDef}一天里说话最多的是关于剧情的那几句。
Habit,VTE_Desensitized,1,{PAWN_nameDef}听见有人死掉时先把碗放下，然后才问是谁。
Habit,VTE_Desensitized,2,葬礼上{PAWN_nameDef}负责看名单，不看棺。
Habit,VTE_Desensitized,3,{PAWN_nameDef}已经把别人哭的时间用来做事了。
Habit,VTE_Desensitized,4,有人问{PAWN_nameDef}难道不难受，{PAWN_objective}想了很久也没答上来。
Habit,VTE_Groundbreaker,1,{PAWN_nameDef}每到一个没去过的地方都要先绕一圈。
Habit,VTE_Groundbreaker,2,{PAWN_nameDef}听到墙外有动静会想去看看那边有什么。
Habit,VTE_Groundbreaker,3,{PAWN_nameDef}在没人住过的屋子里也睡得很沉。
Habit,VTE_Groundbreaker,4,{PAWN_nameDef}开始觉得修好的东西比新开的地方差一点。
Habit,VTE_Insatiable,1,{PAWN_nameDef}答应下来的话过一夜就会换个对象。
Habit,VTE_Insatiable,2,{PAWN_nameDef}看人的眼神和三个月前不是同一个方向。
Habit,VTE_Insatiable,3,{PAWN_nameDef}把承诺说得很快，走得也很快。
Habit,VTE_Insatiable,4,{PAWN_nameDef}桌上的情书已经有一沓，{PAWN_objective}说那是旧的了。
Habit,VTE_Kleptomaniac,1,{PAWN_nameDef}手边没有人时手指就会动。
Habit,VTE_Kleptomaniac,2,{PAWN_nameDef}口袋里总有几样说不清来路的零碎。
Habit,VTE_Kleptomaniac,3,{PAWN_nameDef}听见别人丢东西时会比谁都热心地帮着找。
Habit,VTE_Kleptomaniac,4,{PAWN_nameDef}已经习惯了先拿再说不用。
Habit,VTE_Lush,1,{PAWN_nameDef}开工前要先去确认那一瓶还在不在。
Habit,VTE_Lush,2,{PAWN_nameDef}现在手抖的时候第一反应是去看柜子。
Habit,VTE_Lush,3,{PAWN_nameDef}把睡前的那一杯当作一天真正的收尾。
Habit,VTE_Lush,4,有人借走{PAWN_nameDef}的酒，{PAWN_nameDef}当天就把话讲得很硬。
Habit,VTE_MadSurgeon,1,{PAWN_nameDef}开始觉得手术做完就算成功。
Habit,VTE_MadSurgeon,2,{PAWN_nameDef}把血喷出来那一下当作正常现象。
Habit,VTE_MadSurgeon,3,{PAWN_nameDef}在名单上给重的人打勾时手很稳。
Habit,VTE_MadSurgeon,4,{PAWN_nameDef}解释刀口时用的是资源两个字。
Habit,VTE_MartialArtist,1,{PAWN_nameDef}等人时会不知不觉摆出架式。
Habit,VTE_MartialArtist,2,{PAWN_nameDef}看到别人搬东西先纠正{PAWN_possessive}的肩膀。
Habit,VTE_MartialArtist,3,{PAWN_nameDef}每天要摸一次那根缠了绳的木桩。
Habit,VTE_MartialArtist,4,{PAWN_nameDef}已经习惯用第几招来说一件日常事。
Habit,VTE_Stoner,1,{PAWN_nameDef}点火的动作比吃饭还准时。
Habit,VTE_Stoner,2,{PAWN_nameDef}说话前先深深吸一口，然后拖长尾音。
Habit,VTE_Stoner,3,{PAWN_nameDef}口袋里的碎末被人拿走会立刻发现。
Habit,VTE_Stoner,4,{PAWN_nameDef}现在觉得一天里最要紧的事是那一小包。
Habit,VTE_WorldWeary,1,{PAWN_nameDef}听见坏消息时只是点头，说果然。
Habit,VTE_WorldWeary,2,{PAWN_nameDef}已经不再问明天要做什么。
Habit,VTE_WorldWeary,3,{PAWN_nameDef}对好消息的反应比坏消息还慢。
Habit,VTE_WorldWeary,4,有人叫{PAWN_nameDef}高兴一点，{PAWN_objective}会先愣一下再笑。
Habit,AnnoyingVoice,1,{PAWN_nameDef}开口之后屋里的人会先交换一个眼神。
Habit,AnnoyingVoice,2,{PAWN_nameDef}现在习惯把要说的话写下来递过去。
Habit,Faith,1,{PAWN_nameDef}吃饭前要先把手合上一小会儿。
Habit,Faith,2,{PAWN_nameDef}睡前要朝一个方向点一次头，谁问也不解释。
Habit,Immunity,1,{PAWN_nameDef}病了也不躺下，第二天自己就好了。
Habit,Immunity,2,{PAWN_nameDef}把防疫的药水分给别人，自己那份留着不动。
Habit,Industriousness,1,{PAWN_nameDef}手上一停就会去找点什么搬。
Habit,Industriousness,2,{PAWN_nameDef}收工之后还要把那排工具重新码一遍。
Habit,Jealous,1,{PAWN_nameDef}看见别人领到好东西会先记在木板上。
Habit,Jealous,2,{PAWN_nameDef}夸人的时候总要加一句自己也有份。
Habit,Nimble,1,{PAWN_nameDef}走过去的时候地砖几乎不响。
Habit,Nimble,2,{PAWN_nameDef}上台阶从来不用扶手。
Habit,Occultist,1,{PAWN_nameDef}要把听来的那些怪事一条条记下来。
Habit,Occultist,2,{PAWN_nameDef}对着不可见的东西说话时不看任何人的脸色。
Habit,PsychicSensitivity,1,{PAWN_nameDef}一有动静就先按住太阳穴。
Habit,PsychicSensitivity,2,{PAWN_nameDef}开始说谁今天不对劲，而且通常是对的。
Habit,Psychopath,1,{PAWN_nameDef}看人时像在看天气。
Habit,Psychopath,2,{PAWN_nameDef}别人哭的时候{PAWN_objective}只会上前问一句需要做什么。
Habit,QuickSleeper,1,{PAWN_nameDef}躺下不到一炷香就睡着，叫也叫不醒。
Habit,QuickSleeper,2,{PAWN_nameDef}醒来第一件事是看天色还够不够睡。
Habit,Tough,1,{PAWN_nameDef}挨了一下之后先回头看是谁。
Habit,Tough,2,{PAWN_nameDef}扛东西不用膝盖，直接用背。
Habit,VTE_AbsentMinded,1,{PAWN_nameDef}要把钥匙找到第三次才想起来放过哪里。
Habit,VTE_AbsentMinded,2,{PAWN_nameDef}话说一半会停下来，因为忘了要说什么。
Habit,VTE_Anxious,1,{PAWN_nameDef}进屋先数有几扇门能出去。
Habit,VTE_Anxious,2,{PAWN_nameDef}人多时会去摸自己的手腕。
Habit,VTE_Brave,1,{PAWN_nameDef}害怕的时候反而站得更靠前。
Habit,VTE_Brave,2,{PAWN_nameDef}撤退的号令要喊第二遍才肯动。
Habit,VTE_Clumsy,1,{PAWN_nameDef}经过的桌角一定会掉一样东西。
Habit,VTE_Clumsy,2,{PAWN_nameDef}捧着东西走路像捧着随时会炸的东西。
Habit,VTE_ColdInclined,1,{PAWN_nameDef}冷了不加衣，反而去外头多走两圈。
Habit,VTE_ColdInclined,2,{PAWN_nameDef}现在嫌炉边太闷。
Habit,VTE_Coward,1,{PAWN_nameDef}第一反应是退到别人背后。
Habit,VTE_Coward,2,{PAWN_nameDef}听见警报会先找门。
Habit,VTE_DrunkenMaster,1,{PAWN_nameDef}喝多了之后手上的活反倒更稳。
Habit,VTE_DrunkenMaster,2,{PAWN_nameDef}现在要先喝一口才肯上台子。
Habit,VTE_Eccentric,1,{PAWN_nameDef}定的规矩只有{PAWN_objective}自己知道。
Habit,VTE_Eccentric,2,{PAWN_nameDef}做事的顺序谁也别想提前猜到。
Habit,VTE_FunLoving,1,{PAWN_nameDef}把没有乐子的日子过成一种惩罚。
Habit,VTE_FunLoving,2,{PAWN_nameDef}干活干到一半会先去找点热闹。
Habit,VTE_HeatInclined,1,{PAWN_nameDef}太阳越毒{PAWN_objective}越有精神。
Habit,VTE_HeatInclined,2,{PAWN_nameDef}现在主动要求去守晒得最狠的那一段。
Habit,VTE_HeavySleeper,1,{PAWN_nameDef}睡下去之后搬{PAWN_objective}都比叫醒{PAWN_objective}容易。
Habit,VTE_HeavySleeper,2,{PAWN_nameDef}夜里进警报也要第三遍才起身。
Habit,VTE_Insomniac,1,{PAWN_nameDef}天亮时已经在走动，别人以为{PAWN_objective}整夜没躺。
