defName,中文名,英文名,来源,程度数,常见度,类别,倾向,冲突特质,全程度,加成/惩罚,描述,因果经历标签
Wimp,懦夫,wimp,原版Core,1,,其他,负面,Brawler、Masochist、格斗者、Nerves、粗暴,wimp,statOffsets:PainShockThreshold;statFactors:CertaintyLossFactor,{PAWN_nameDef} is weak and cowardly. Even a little pain will immobilize {PAWN_objective}.,
Hardened,强硬,hardened,核SK,1,0.35,工作类,正面,天真、实用至上、痛不堪忍、Wimp、Nerves,hardened,"statOffsets:MentalBreakThreshold,PainShockThreshold,ComfyTemperatureMax,ComfyTemperatureMin",{PAWN_nameDef} has become accustomed to the harsh reality of death and the horrible things that some,
Industriousness,勤奋,industrious,原版Core,4,2,工作类,正面,缓慢,industrious / hard worker / lazy / slothful,statOffsets:WorkSpeedGlobal,"[PAWN_nameDef] has an easy time staying on-task and focused, and gets things done much faster than t",
VTE_Prodigy,天才,prodigy,VTE,1,0.8,工作类,正面,SlowLearner,prodigy,statOffsets:MentalBreakThreshold;statFactors:ResearchSpeed,"{PAWN_nameDef} has a sharp, logical mind. {PAWN_pronoun} researches faster than most, and {PAWN_poss",
VTE_Tycoon,商业大亨,tycoon,VTE,1,0.8,工作类,正面,,tycoon,statOffsets:TradePriceImprovement,{PAWN_nameDef} has an eye for silver and a silver tongue to match. {PAWN_pronoun} values {PAWN_posse,
VTE_Workaholic,工作狂魔,workaholic,VTE,1,0.7,工作类,正面,胡思乱想、缓慢,workaholic,,"{PAWN_nameDef} struggles to take breaks or rest mid-job. {PAWN_pronoun} will keep working, even at t",
VTE_FunLoving,贪玩,fun-loving,VTE,1,1.1,情爱类,中性,忧虑,fun-loving,,"{PAWN_nameDef} lives for a good time. {PAWN_pronoun} remembers parties fondly, and the joy lasts far",
VTE_Insatiable,花心,insatiable,VTE,1,1.1,情爱类,中性,专一、Asexual、虔诚,insatiable,statFactors:CertaintyLossFactor,No amount of lovin’ is ever enough for {PAWN_nameDef}. {PAWN_pronoun} tends to move between partners,
VTE_Prude,专一,prude,VTE,1,1,情爱类,中性,花心、Nudist、胡思乱想、精神分裂症,prude,statFactors:CertaintyLossFactor,{PAWN_nameDef} gives {PAWN_possessive} body only to a spouse and would never initiate divorce. {PAWN,
VTE_Wanderlust,旅行家,wanderlust,VTE,1,1.1,情爱类,中性,Undergrounder,wanderlust,statOffsets:ForagedNutritionPerDay,{PAWN_nameDef} loves to travel and feels happiest on the move. {PAWN_pronoun} grows restless when st,
Bloodlust,嗜血,bloodlust,原版Core,1,0.8,情爱类,负面,脆弱、脆弱,bloodlust,,"{PAWN_nameDef} gets a rush from hurting people, and never minds the sight of blood or death. {PAWN_p",
Brawler,好斗,brawler,原版Core,1,,战斗类,中性,致命射手、Wimp、柔弱、胆小鬼,brawler,statOffsets:MeleeHitChance,{PAWN_nameDef} likes to fight up close and personal. {PAWN_possessive} accuracy is greatly increased,
PainThreshold,痛不堪忍,ironman,核SK,2,1.1,战斗类,中性,Wimp、强硬、柔弱、强壮,ironman / low pain tolerance,statOffsets:PainShockThreshold,{PAWN_nameDef} has an exceptionally high tolerance for pain. {PAWN_pronoun} is unlikely to be immobi,
ShootingAccuracy,致命射手,careful shooter,原版Core,2,2,战斗类,中性,Brawler,careful shooter / trigger-happy,"statOffsets:AimingDelayFactor,ShootingAccuracyPawn","[PAWN_nameDef] takes more time to aim when shooting. [PAWN_pronoun] shoots less often than others, b",
VTE_MartialArtist,武术家,martial artist,VTE,1,0.6,战斗类,中性,,martial artist,,{PAWN_nameDef} has trained in melee combat and learned a special move to disarm opponents.,
Tough,粗暴,tough,原版Core,1,1.1,战斗类,正面,极端、Wimp、忧虑、精神分裂症,tough,statFactors:IncomingDamageFactor,"{PAWN_nameDef} has thick skin, dense flesh, and durable bones. {PAWN_pronoun} takes much less damage",
VTE_Brave,勇敢,brave,VTE,1,0.7,战斗类,正面,胆小鬼、Nerves、Wimp,brave,"statOffsets:MentalBreakThreshold,PainShockThreshold;statFactors:CertaintyLossFactor",{PAWN_nameDef} has stronger mental and physical fortitude than most. {PAWN_pronoun} can endure pain ,
VTE_IronStomach,铁胃,iron stomach,VTE,1,1,战斗类,正面,娇气,iron stomach,,{PAWN_nameDef} has never known nausea. Food poisoning and vomiting are foreign to {PAWN_objective}.,
Nerves,心理坚韧,iron-willed,原版Core,4,2,战斗类,负面,极端、Wimp、忧虑、精神分裂症,iron-willed / steadfast / nervous / volatile,statOffsets:MentalBreakThreshold;statFactors:CertaintyLossFactor,"[PAWN_nameDef]'s will is an iron shield. [PAWN_pronoun] keeps going through thick and thin, when oth",
PsychicSensitivity,灵能敏感,psychically hypersensitive,原版Core,4,2,灵能类,中性,,psychically hypersensitive / psychically sensitive / psychically dull / psychically deaf,statOffsets:PsychicSensitivity,[PAWN_nameDef]'s mind is like a psychic tuning fork. [PAWN_pronoun] is extremely sensitive to psychi,
Psychopath,精神变态,psychopath,原版Core,1,,灵能类,中性,唯美主义,psychopath,statFactors:CertaintyLossFactor,{PAWN_nameDef} has no empathy. The suffering of others doesn't bother {PAWN_objective} at all. {PAWN,
Gourmet,美食家,gourmet,核SK,1,0.3,生活类,中性,协调、愚笨,gourmet,"statOffsets:CookSpeed,FoodPoisonChance",{PAWN_nameDef} has a passion for food preparation. {PAWN_possessive} culinary creations are quite ta,
VTE_CouchPotato,电视迷,couch potato,VTE,1,0.6,生活类,中性,,couch potato,,An armchair and a screen are all {PAWN_nameDef} needs to be happy. {PAWN_pronoun} never tires of wat,
VTE_Gastronomist,名厨,gastronomist,VTE,1,0.8,生活类,中性,,gastronomist,statOffsets:FoodPoisonChance,"To {PAWN_nameDef}, food is art. {PAWN_pronoun} creates beautiful, delicious meals that are almost al",
DrugDesire,嗜药,chemical fascination,原版Core,3,3,生活类,负面,,chemical fascination / chemical interest / teetotaler,,[PAWN_nameDef] is utterly fascinated with chemical sources of enjoyment. Consuming recreational drug,
Kind,善良,kind,原版Core,1,2,社交类,正面,Abrasive、Psychopath,kind,statFactors:CertaintyLossFactor,{PAWN_nameDef} is an exceptionally agreeable and giving person. {PAWN_pronoun} rarely insults others,
Abrasive,尖刻,abrasive,原版Core,1,,社交类,负面,,abrasive,statFactors:CertaintyLossFactor,"{PAWN_nameDef} always says exactly what's on {PAWN_possessive} mind, especially if it's bugging {PAW",
AnnoyingVoice,恼人的嗓音,annoying voice,原版Core,1,0.5,社交类,负面,,annoying voice,,"{PAWN_nameDef}'s voice has a particularly grating, nasal quality to it, and {PAWN_pronoun} tends to ",
Greedy,贪婪,greedy,原版Core,1,,社交类,负面,Ascetic、Jealous,greedy,,{PAWN_nameDef} needs a really impressive bedroom. {PAWN_pronoun} gets a mood loss if {PAWN_pronoun} ,
Jealous,嫉妒,jealous,原版Core,1,,社交类,负面,Ascetic、Greedy,jealous,,"For {PAWN_nameDef}, it's degrading to have a less impressive bedroom than someone else. {PAWN_pronou",
Cannibal,食人癖,cannibal,原版Core,1,0.6,身体类,中性,,cannibal,,"{PAWN_nameDef} was taught that eating human meat is wrong and horrible. But one time, long ago, {PAW",
DeepSleeper,沉眠者,deep sleeper,核SK,1,0.45,身体类,中性,,deep sleeper,,{PAWN_nameDef} can sleep through anything.,
Masochist,受虐狂,masochist,原版Core,1,0.5,身体类,中性,Wimp,masochist,,"For {PAWN_nameDef}, there's something exciting about getting hurt. {PAWN_pronoun} doesn't know why, ",
Nudist,裸体主义,nudist,原版Core,1,0.7,身体类,中性,,nudist,,{PAWN_nameDef} enjoys the feeling of freedom that comes from being nude. {PAWN_pronoun} can handle c,
Strong,强壮,Strong,核SK,1,0.6,身体类,中性,柔弱、Abrasive、Nimble、强健、反应迅捷,Strong,,{PAWN_nameDef} is abnormally strong.,
VTE_BigBoned,膀大腰圆,big-boned,VTE,1,0.6,身体类,中性,,big-boned,,"Whether from bulk or awkward posture, {PAWN_nameDef} has broken a few chairs in {PAWN_possessive} ti",
VTE_ColdInclined,嗜冷,cold inclined,VTE,1,0.8,身体类,中性,,cold inclined,statOffsets:ComfyTemperatureMin,{PAWN_nameDef} enjoys the chill of a brisk winter night. {PAWN_pronoun} doesn't mind shivering or sl,
VTE_HeatInclined,嗜热,heat inclined,VTE,1,0.8,身体类,中性,,heat inclined,statOffsets:ComfyTemperatureMax,{PAWN_nameDef} enjoys the heat of a dry summer day. {PAWN_pronoun} doesn't mind working up a sweat o,
VTE_HeavySleeper,沉睡者,heavy sleeper,VTE,1,0.6,身体类,中性,,heavy sleeper,,"A bomb could go off beside {PAWN_nameDef} while {PAWN_pronoun} sleeps, and {PAWN_pronoun} would keep",
ColdLover,低温嗜好,cold lover,核SK,1,0.45,身体类,正面,高温嗜好,cold lover,"statOffsets:ComfyTemperatureMax,ComfyTemperatureMin",{PAWN_nameDef} loves colder temperatures. {PAWN_pronoun}'ll complain less than others when it's chil,
HeatLover,高温嗜好,heat lover,核SK,1,0.55,身体类,正面,低温嗜好,heat lover,"statOffsets:ComfyTemperatureMax,ComfyTemperatureMin","{PAWN_nameDef} loves the heat. {PAWN_pronoun}'ll complain less than others when it's hot, but will w",
Immunity,免疫力,super-immune,原版Core,2,,身体类,正面,,super-immune / sickly,statOffsets:ImmunityGainSpeed,[PAWN_nameDef] has a naturally powerful immune system. [PAWN_pronoun] will gain immunity much faster,
Nimble,身手敏捷,nimble,原版Core,1,,身体类,正面,,nimble,statOffsets:MeleeDodgeChance;statFactors:PawnTrapSpringChance,{PAWN_nameDef} has remarkable kinesthetic intelligence. {PAWN_pronoun} seems to dance around danger ,
QuickSleeper,睡眠轻浅,quick sleeper,原版Core,1,,身体类,正面,,quick sleeper,statOffsets:RestRateMultiplier,{PAWN_nameDef} doesn't need as much sleep as the average person. Whether {PAWN_pronoun}'s sleeping o,
